id,пол,город,relation
9429,пол мужской,Санкт-Петербург,данные извлечь невозможно
9491,пол женский,Санкт-Петербург,данные извлечь невозможно
9527,пол мужской,Санкт-Петербург,данные извлечь невозможно
9528,пол женский,Новосибирск,данные извлечь невозможно
9532,пол мужской,Санкт-Петербург,данные извлечь невозможно
9542,пол женский,Trapani,данные извлечь невозможно
9559,пол мужской,Санкт-Петербург,4
9571,пол мужской,Москва,данные извлечь невозможно
9574,пол мужской,Санкт-Петербург,данные извлечь невозможно
9580,пол мужской,Красноярск,данные извлечь невозможно
9611,пол женский,город не указан,данные извлечь невозможно
9653,пол женский,Москва,данные извлечь невозможно
9683,пол мужской,Санкт-Петербург,данные извлечь невозможно
9687,пол мужской,Самара,1
9699,пол женский,Phuket,2
9721,пол мужской,Санкт-Петербург,данные извлечь невозможно
9731,пол женский,Санкт-Петербург,данные извлечь невозможно
9733,пол женский,Санкт-Петербург,данные извлечь невозможно
9734,пол мужской,Санкт-Петербург,данные извлечь невозможно
9741,пол мужской,Санкт-Петербург,данные извлечь невозможно
9804,пол мужской,город не указан,данные извлечь невозможно
9806,пол мужской,Москва,данные извлечь невозможно
9821,пол мужской,Санкт-Петербург,данные извлечь невозможно
9826,пол мужской,город не указан,данные извлечь невозможно
9833,пол мужской,Санкт-Петербург,данные извлечь невозможно
9841,пол мужской,Санкт-Петербург,данные извлечь невозможно
9900,пол мужской,Санкт-Петербург,данные извлечь невозможно
9914,пол мужской,Санкт-Петербург,данные извлечь невозможно
9941,пол мужской,Санкт-Петербург,данные извлечь невозможно
9942,пол женский,Санкт-Петербург,данные извлечь невозможно
9968,пол мужской,Санкт-Петербург,данные извлечь невозможно
9980,пол мужской,Санкт-Петербург,данные извлечь невозможно
10066,пол мужской,Санкт-Петербург,данные извлечь невозможно
10069,пол мужской,Москва,данные извлечь невозможно
10078,пол женский,Санкт-Петербург,данные извлечь невозможно
10087,пол мужской,Москва,данные извлечь невозможно
10095,пол женский,Санкт-Петербург,данные извлечь невозможно
10112,пол женский,Санкт-Петербург,данные извлечь невозможно
10113,пол женский,Санкт-Петербург,данные извлечь невозможно
10159,пол мужской,Санкт-Петербург,данные извлечь невозможно
10197,пол женский,Санкт-Петербург,данные извлечь невозможно
10261,пол женский,Москва,данные извлечь невозможно
10266,пол женский,город не указан,данные извлечь невозможно
10290,пол женский,Санкт-Петербург,данные извлечь невозможно
10298,пол мужской,Санкт-Петербург,1
10333,пол мужской,Москва,данные извлечь невозможно
10365,пол мужской,Санкт-Петербург,3
10408,пол мужской,Новосибирск,данные извлечь невозможно
10460,пол мужской,Санкт-Петербург,данные извлечь невозможно
10480,пол мужской,Москва,данные извлечь невозможно
10518,пол женский,Санкт-Петербург,данные извлечь невозможно
10539,пол женский,Москва,данные извлечь невозможно
10599,пол женский,Санкт-Петербург,данные извлечь невозможно
10606,пол женский,Москва,данные извлечь невозможно
10627,пол мужской,Toronto,данные извлечь невозможно
10664,пол женский,Санкт-Петербург,данные извлечь невозможно
